ダウンロードした時刻：2018/09/17 14:26:27

,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2012/1/1,7.5,8,1
2012/1/2,6.3,8,1
2012/1/3,5.8,8,1
2012/1/4,4.4,8,1
2012/1/5,4.2,8,1
2012/1/6,6.3,8,1
2012/1/7,5.5,8,1
2012/1/8,5.5,8,1
2012/1/9,7.4,8,1
2012/1/10,7.3,8,1
2012/1/11,6.2,8,1
2012/1/12,4.0,8,1
2012/1/13,6.5,8,1
2012/1/14,6.4,8,1
2012/1/15,6.5,8,1
2012/1/16,5.9,8,1
2012/1/17,6.3,8,1
2012/1/18,6.4,8,1
2012/1/19,7.3,8,1
2012/1/20,9.0,8,1
2012/1/21,8.2,8,1
2012/1/22,8.1,8,1
2012/1/23,7.0,8,1
2012/1/24,3.1,8,1
2012/1/25,2.4,8,1
2012/1/26,2.4,8,1
2012/1/27,4.4,8,1
2012/1/28,5.2,8,1
2012/1/29,3.9,8,1
2012/1/30,3.5,8,1
2012/1/31,3.7,8,1
2012/2/1,4.7,8,1
2012/2/2,0.5,8,1
2012/2/3,1.6,8,1
2012/2/4,4.7,8,1
2012/2/5,5.8,8,1
2012/2/6,7.9,8,1
2012/2/7,8.6,8,1
2012/2/8,3.1,8,1
2012/2/9,2.2,8,1
2012/2/10,4.0,8,1
2012/2/11,4.7,8,1
2012/2/12,4.6,8,1
2012/2/13,5.1,8,1
2012/2/14,6.2,8,1
2012/2/15,5.4,8,1
2012/2/16,4.1,8,1
2012/2/17,4.0,8,1
2012/2/18,1.6,8,1
2012/2/19,3.1,8,1
2012/2/20,4.7,8,1
2012/2/21,5.7,8,1
2012/2/22,8.7,8,1
2012/2/23,10.9,8,1
2012/2/24,9.4,8,1
2012/2/25,7.6,8,1
2012/2/26,4.9,8,1
2012/2/27,3.3,8,1
2012/2/28,4.9,8,1
2012/2/29,8.1,8,1
2012/3/1,9.4,8,1
2012/3/2,10.9,8,1
2012/3/3,9.4,8,1
2012/3/4,8.3,8,1
2012/3/5,11.2,8,1
2012/3/6,13.0,8,1
2012/3/7,11.0,8,1
2012/3/8,10.3,8,1
2012/3/9,7.4,8,1
2012/3/10,8.2,8,1
2012/3/11,5.8,8,1
2012/3/12,3.7,8,1
2012/3/13,4.4,8,1
2012/3/14,6.3,8,1
2012/3/15,7.3,8,1
2012/3/16,8.1,8,1
2012/3/17,12.2,8,1
2012/3/18,11.8,8,1
2012/3/19,7.6,8,1
2012/3/20,6.8,8,1
2012/3/21,7.7,8,1
2012/3/22,10.2,8,1
2012/3/23,10.6,8,1
2012/3/24,10.7,8,1
2012/3/25,7.6,8,1
2012/3/26,6.2,8,1
2012/3/27,8.6,8,1
2012/3/28,11.2,8,1
2012/3/29,10.8,8,1
2012/3/30,14.2,8,1
2012/3/31,11.2,8,1
2012/4/1,9.2,8,1
2012/4/2,11.0,8,1
2012/4/3,12.5,8,1
2012/4/4,10.0,8,1
2012/4/5,13.1,8,1
2012/4/6,8.8,8,1
2012/4/7,7.6,8,1
2012/4/8,9.4,8,1
2012/4/9,14.6,8,1
2012/4/10,16.2,8,1
2012/4/11,15.6,8,1
2012/4/12,16.5,8,1
2012/4/13,15.6,8,1
2012/4/14,13.3,8,1
2012/4/15,13.4,8,1
2012/4/16,15.4,8,1
2012/4/17,15.4,8,1
2012/4/18,15.6,8,1
2012/4/19,17.2,8,1
2012/4/20,15.9,8,1
2012/4/21,18.4,8,1
2012/4/22,15.5,8,1
2012/4/23,19.2,8,1
2012/4/24,18.8,8,1
2012/4/25,19.9,8,1
2012/4/26,18.2,8,1
2012/4/27,18.2,8,1
2012/4/28,19.3,8,1
2012/4/29,20.6,8,1
